full_address,onemap_result,hdb_LATITUDE,hdb_LONGITUDE,hdb_POSTAL
435 ANG MO KIO AVE 10,"{'SEARCHVAL': 'CHENG SAN COMMUNITY CLUB (TEMP OFFICE)', 'BLK_NO': '435', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'CHENG SAN COMMUNITY CLUB (TEMP OFFICE)', 'ADDRESS': '435 ANG MO KIO AVENUE 10 CHENG SAN COMMUNITY CLUB (TEMP OFFICE) SINGAPORE 560435', 'POSTAL': '560435', 'X': '30335.8148741601', 'Y': '38854.5485663079', 'LATITUDE': '1.36766116325929', 'LONGITUDE': '103.854307499675'}",1.36766116325929,103.854307499675,560435.0
424 ANG MO KIO AVE 3,"{'SEARCHVAL': 'CHONG BOON VIEW', 'BLK_NO': '424', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'CHONG BOON VIEW', 'ADDRESS': '424 ANG MO KIO AVENUE 3 CHONG BOON VIEW SINGAPORE 560424', 'POSTAL': '560424', 'X': '29946.4514361909', 'Y': '38959.0873717722', 'LATITUDE': '1.36860660305158', 'LONGITUDE': '103.850808805402'}",1.36860660305158,103.850808805402,560424.0
433 ANG MO KIO AVE 10,"{'SEARCHVAL': 'CHONG BOON RISE', 'BLK_NO': '433', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'CHONG BOON RISE', 'ADDRESS': '433 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560433', 'POSTAL': '560433', 'X': '30340.8828545492', 'Y': '38900.4769626576', 'LATITUDE': '1.36807652285135', 'LONGITUDE': '103.854353042615'}",1.36807652285135,103.854353042615,560433.0
444 ANG MO KIO AVE 10,"{'SEARCHVAL': '444 ANG MO KIO AVENUE 10 SINGAPORE 560444', 'BLK_NO': '444', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'NIL', 'ADDRESS': '444 ANG MO KIO AVENUE 10 SINGAPORE 560444', 'POSTAL': '560444', 'X': '30477.2953905342', 'Y': '38737.2619152144', 'LATITUDE': '1.36660045321147', 'LONGITUDE': '103.855578790668'}",1.36660045321147,103.855578790668,560444.0
570 ANG MO KIO AVE 3,"{'SEARCHVAL': 'CHENG SAN COURT', 'BLK_NO': '570', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'CHENG SAN COURT', 'ADDRESS': '570 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560570', 'POSTAL': '560570', 'X': '30526.7426821338', 'Y': '39084.8139777128', 'LATITUDE': '1.3697435855576', 'LONGITUDE': '103.856023138277'}",1.3697435855576,103.856023138277,560570.0
466 ANG MO KIO AVE 10,"{'SEARCHVAL': 'PCF SPARKLETOTS PRESCHOOL @ TECK GHEE BLK 466 (KN)', 'BLK_NO': '466', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'PCF SPARKLETOTS PRESCHOOL @ TECK GHEE BLK 466 (KN)', 'ADDRESS': '466 ANG MO KIO AVENUE 10 PCF SPARKLETOTS PRESCHOOL @ TECK GHEE BLK 466 (KN) SINGAPORE 560466', 'POSTAL': '560466', 'X': '30642.3158929367', 'Y': '38650.9213112108', 'LATITUDE': '1.36581960538764', 'LONGITUDE': '103.857061606231'}",1.36581960538764,103.857061606231,560466.0
471 ANG MO KIO AVE 10,"{'SEARCHVAL': 'TECK GHEE HORIZON', 'BLK_NO': '471', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'TECK GHEE HORIZON', 'ADDRESS': '471 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560471', 'POSTAL': '560471', 'X': '30602.400746109', 'Y': '38390.6719205808', 'LATITUDE': '1.36346600647245', 'LONGITUDE': '103.856702918462'}",1.36346600647245,103.856702918462,560471.0
441 ANG MO KIO AVE 10,"{'SEARCHVAL': '441 ANG MO KIO AVENUE 10 SINGAPORE 560441', 'BLK_NO': '441', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'NIL', 'ADDRESS': '441 ANG MO KIO AVENUE 10 SINGAPORE 560441', 'POSTAL': '560441', 'X': '30320.3262626035', 'Y': '38676.4249629509', 'LATITUDE': '1.36605027829032', 'LONGITUDE': '103.854168309853'}",1.36605027829032,103.854168309853,560441.0
564 ANG MO KIO AVE 3,"{'SEARCHVAL': '564 ANG MO KIO AVENUE 3 SINGAPORE 560564', 'BLK_NO': '564', 'ROAD_NAME': 'ANG MO KIO AVENUE 3', 'BUILDING': 'NIL', 'ADDRESS': '564 ANG MO KIO AVENUE 3 SINGAPORE 560564', 'POSTAL': '560564', 'X': '30903.0062578218', 'Y': '39096.404950738', 'LATITUDE': '1.36984837555524', 'LONGITUDE': '103.859404131956'}",1.36984837555524,103.859404131956,560564.0
419 ANG MO KIO AVE 10,"{'SEARCHVAL': 'TECK GHEE HEARTLANDS', 'BLK_NO': '419', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'TECK GHEE HEARTLANDS', 'ADDRESS': '419 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560419', 'POSTAL': '560419', 'X': '30318.4924768107', 'Y': '38598.6265287735', 'LATITUDE': '1.36534669720177', 'LONGITUDE': '103.85415182597'}",1.36534669720177,103.85415182597,560419.0
