school_name,address,mainlevel_code,sap_ind,autonomous_ind,primary_school_LATITUDE,primary_school_LONGITUDE
MARYMOUNT CONVENT SCHOOL,20 Marymount Road   ,PRIMARY,No,No,1.34036676987375,103.840021064426
MAYFLOWER PRIMARY SCHOOL,200 Ang Mo Kio Avenue 5   ,PRIMARY,No,No,1.37637683547682,103.843252803742
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71   ,PRIMARY,No,No,1.37552831658484,103.934889078518
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive   ,PRIMARY,No,No,1.34947276268396,103.884971343143
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8   ,PRIMARY,No,No,1.37382444075979,103.889307782925
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK   ,PRIMARY,No,No,1.39221149906592,103.891180928186
NAN HUA PRIMARY SCHOOL,30 Jalan Lempeng   ,PRIMARY,Yes,No,1.31920159956387,103.761095065761
NANYANG PRIMARY SCHOOL,52 KING'S ROAD   ,PRIMARY,Yes,No,1.32084749904532,103.807750155296
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4   ,PRIMARY,No,No,1.41630663159387,103.838794077233
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road   ,PRIMARY,No,No,1.29964188181021,103.80010216304
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE   ,PRIMARY,No,No,1.30552505910497,103.917463017497
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET   ,PRIMARY,No,No,1.38706146494859,103.903202683028
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6   ,PRIMARY,No,No,1.42752327193727,103.848190787869
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link   ,PRIMARY,No,No,1.38282243016299,103.895961877928
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4   ,PRIMARY,No,No,1.42096989918951,103.840928424929
NORTHOAKS PRIMARY SCHOOL,61 Sembawang Drive   ,PRIMARY,No,No,1.45660782030102,103.814196981329
NORTHSHORE PRIMARY SCHOOL,30 Northshore Drive   ,PRIMARY,No,No,1.41813803336667,103.904416909742
OASIS PRIMARY SCHOOL,71 Edgefield Plains   ,PRIMARY,No,No,1.40462413200793,103.911120600638
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET   ,PRIMARY,No,No,1.31931914436255,103.923788259248
PALM VIEW PRIMARY SCHOOL,150 Compassvale Bow   ,PRIMARY,No,No,1.38376923022123,103.891354675017
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1   ,PRIMARY,No,No,1.37738069854249,103.939541695654
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21   ,PRIMARY,No,No,1.37241870245531,103.962807212116
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO   ,PRIMARY,No,No,1.34947276268396,103.884971343143
PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH   ,PRIMARY,Yes,No,1.33737358725951,103.855585578061
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE   ,PRIMARY,Yes,No,1.33805634613048,103.776106448614
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5   ,PRIMARY,No,No,1.31619786415976,103.767599818844
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD   ,PRIMARY,No,No,1.41741627551251,103.830143209875
PIONEER PRIMARY SCHOOL,80 TENGAH GARDEN AVENUE   ,PRIMARY,No,No,1.33902264667589,103.687769623983
POI CHING SCHOOL,21 TAMPINES STREET 71   ,PRIMARY,Yes,No,1.35765122315688,103.935246477199
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3   ,PRIMARY,No,No,1.349203512653,103.74101964471
PUNGGOL COVE PRIMARY SCHOOL,52 Sumang Walk   ,PRIMARY,No,No,1.41159923273069,103.898803921164
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk   ,PRIMARY,No,No,1.40187220643293,103.898801330302
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8   ,PRIMARY,No,No,1.37820062547641,103.894667159512
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place   ,PRIMARY,No,No,1.40514582647962,103.905156371376
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE   ,PRIMARY,No,No,1.3132658326807,103.756629101811
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81   ,PRIMARY,No,No,1.44203596557592,103.788339762066
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR   ,PRIMARY,No,No,1.29559365009015,103.807548617332
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE   ,PRIMARY,No,No,1.27495823622634,103.824188270373
RAFFLES GIRLS' PRIMARY SCHOOL,21 Hillcrest Road   ,PRIMARY,No,No,1.3294042600012,103.806442915912
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3   ,PRIMARY,Yes,No,1.33405659580859,103.934317528484
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN   ,PRIMARY,No,No,1.29418347842837,103.836018941571
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent   ,PRIMARY,No,No,1.44700426493785,103.801889031334
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT   ,PRIMARY,No,No,1.40285481877246,103.746822625758
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE   ,PRIMARY,No,No,1.39340997767762,103.904559511997
ROSYTH SCHOOL,21 Serangoon North Avenue 4   ,PRIMARY,No,No,1.37289067499064,103.875001549174
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52   ,PRIMARY,No,No,1.34673868889096,103.718457955487
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE   ,PRIMARY,No,No,1.44504676205659,103.82102212387
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK   ,PRIMARY,No,No,1.38949740422462,103.899767112047
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road   ,PRIMARY,No,No,1.39284606680477,103.875217666486
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51   ,PRIMARY,No,No,1.34765311431632,103.721523713379
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1   ,PRIMARY,No,No,1.43240935732525,103.786035065192
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD   ,PRIMARY,No,No,1.32080725235992,103.827744749548
SOUTH VIEW PRIMARY SCHOOL,6 Choa Chu Kang Central   ,PRIMARY,No,No,1.38166664389749,103.746275846011
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link   ,PRIMARY,No,No,1.39467010299293,103.889926221247
ST ANDREW'S SCHOOL (JUNIOR),2 FRANCIS THOMAS DRIVE   ,PRIMARY,No,No,1.33140255308868,103.865117134385
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4   ,PRIMARY,No,No,1.3347253730189,103.941234868202
ST. ANTHONY'S PRIMARY SCHOOL,30 Bukit Batok St 32   ,PRIMARY,No,No,1.3347253730189,103.941234868202
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan   ,PRIMARY,No,No,1.34947192653862,103.862561037707
